,latent_mean_0,latent_logvar_0,Gaussian_latent_var_feature_{i}
146,0.32895654,-3.4141092,0.19697124
147,-0.070365846,-3.1801124,-0.020722374
148,-0.56377465,-2.61376,-1.1259353
149,-0.7501385,-2.0832658,-0.8060092
150,-0.29993653,-2.3665957,-0.34489942
151,0.10231674,-3.5146394,0.01573369
152,-0.70647836,-2.3191776,-0.5528473
153,0.7942103,-4.3128285,0.7063577
154,0.5619032,-4.1539645,0.5830313
155,0.96509,-5.4807324,0.9439875
156,0.34048176,-3.7762947,0.44581753
157,0.25638175,-3.2226343,0.47004205
158,1.2397864,-6.293905,1.2434899
159,0.38073856,-4.817721,0.4159621
160,-0.15860048,-2.3184667,0.08652924
161,0.7867522,-5.7382026,0.6638629
162,-0.30019882,-2.2655883,-0.7549857
163,0.7129754,-5.19203,0.585161
164,0.2536697,-2.9714236,0.38479
165,-0.2939398,-2.592578,-0.073823184
166,-0.4174168,-2.7296352,0.26751667
167,-0.7451477,-2.2595935,-0.7099778
168,-0.9861585,-1.8436714,-0.7040871
169,-0.8229941,-2.0691237,-0.8965471
170,1.2075473,-6.8616486,1.2353437
171,0.32927525,-7.0269256,0.29810947
172,0.14644404,-3.0310197,0.17008181
173,-0.6410653,-2.4939795,-0.7286477
174,-1.6641272,-1.4358085,-1.520289
175,-0.36923003,-2.7268295,-0.16691329
176,0.042862713,-3.2056088,-0.08006425
177,0.45218152,-4.275256,0.5126591
178,1.5319635,-6.2687078,1.5015557
179,-0.4012397,-2.4935465,-0.2810862
180,-0.39606082,-2.5757608,-0.43087947
181,0.7206632,-5.1552196,0.6878363
182,-0.39727885,-2.7150593,-0.42968768
183,0.6839085,-5.1140747,0.6176928
184,0.9748333,-7.225289,1.004451
185,0.37979755,-4.2025256,0.26180002
186,-1.6836017,-1.4119436,-2.0399108
187,0.3725813,-4.4305983,0.34036508
188,0.24286002,-3.6524878,0.5075973
189,-0.14118725,-2.4780736,-0.6462663
190,0.349257,-3.5896811,0.2655345
191,0.43868995,-3.3209414,0.3217383
192,0.94792914,-5.618685,0.9371966
193,0.7405964,-3.6312199,0.6288942
194,-0.13437608,-2.8226156,-0.1586178
195,-0.27270386,-2.5242133,-0.19932127
196,0.27600744,-3.0640392,0.3218806
197,-0.4298607,-2.5846462,-0.14061007
198,-0.016794324,-2.833015,-0.1282345
199,0.34999257,-3.5210695,0.26546893
200,-0.67444456,-2.2961717,-0.5447762
201,0.8230625,-6.2530174,0.8355065
202,0.12833002,-3.239828,-0.0837944
203,-0.8827146,-1.9669839,-1.3686854
204,0.22555584,-3.5376325,0.23759447
205,0.0017700046,-3.3644066,0.077180386
206,0.3189291,-3.58524,0.28162012
207,0.09247036,-3.4400415,0.22392488
208,-1.0388159,-1.6977803,-1.7076387
209,0.44795775,-5.587457,0.47081766
210,-1.2253584,-1.6060594,-1.152343
211,-1.1969755,-1.6691388,-1.1467862
212,0.47205,-6.6205144,0.44871125
213,-1.6694518,-1.5151595,-1.8184663
214,-0.647653,-2.0620537,-0.8259109
215,-0.47733998,-2.0471158,-0.25292695
